2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|业务审批|+|(null)|+|2
2016-09-26|+|常规修改|+|e支付系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|对公贷款系统|+|交易数据维护|+|运维中心审批|+|业务需求不完善|+|1
2016-09-27|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-29|+|常规修改|+|销售作业系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-19|+|常规修改|+|计费系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|3
2016-09-23|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|8
2016-09-29|+|常规修改|+|新风控系统|+|交易数据维护|+|业务审批|+|程序缺陷|+|1
2016-09-27|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-22|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-02|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-01|+|常规修改|+|xBank2.0系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-27|+|常规修改|+|(null)|+|交易数据维护|+|业务审批|+|(null)|+|1
2016-09-07|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-27|+|紧急修改|+|第三方支付系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|1
2016-09-18|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-28|+|常规修改|+|BPM系统|+|交易数据维护|+|组织审批|+|业务需求不完善|+|1
2016-09-13|+|常规修改|+|新网银系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-18|+|常规修改|+|分行特色业务平台|+|交易数据维护|+|回顾|+|历史数据问题|+|1
